timestamps population node_ids
85.90000000009726 LUT 4
90.10000000009703 LUT 4
95.9000000000967 LUT 4
112.50000000009575 LUT 4
117.50000000009547 LUT 4
121.10000000009526 LUT 4
125.30000000009503 LUT 4
131.20000000009557 LUT 4
168.10000000010396 LUT 4
173.40000000010517 LUT 4
177.20000000010603 LUT 4
181.10000000010692 LUT 4
184.6000000001077 LUT 4
187.70000000010842 LUT 4
191.1000000001092 LUT 4
195.1000000001101 LUT 4
200.30000000011128 LUT 4
203.9000000001121 LUT 4
207.10000000011283 LUT 4
210.5000000001136 LUT 4
214.5000000001145 LUT 4
219.7000000001157 LUT 4
285.8000000001307 LUT 4
291.30000000013194 LUT 4
295.20000000013283 LUT 4
300.10000000013395 LUT 4
364.40000000014857 LUT 4
370.00000000014984 LUT 4
373.9000000001507 LUT 4
378.80000000015184 LUT 4
454.6000000001691 LUT 4
460.1000000001703 LUT 4
463.80000000017117 LUT 4
467.0000000001719 LUT 4
470.0000000001726 LUT 4
473.2000000001733 LUT 4
476.8000000001741 LUT 4
481.2000000001751 LUT 4
487.8000000001766 LUT 4
594.5000000001071 LUT 4
600.100000000102 LUT 4
604.0000000000985 LUT 4
608.900000000094 LUT 4
753.1999999999628 LUT 4
757.1999999999591 LUT 4
760.599999999956 LUT 4
763.7999999999531 LUT 4
766.7999999999504 LUT 4
769.9999999999475 LUT 4
773.6999999999441 LUT 4
778.19999999994 LUT 4
785.3999999999335 LUT 4
805.4999999999152 LUT 4
810.4999999999106 LUT 4
814.1999999999073 LUT 4
818.5999999999033 LUT 4
825.499999999897 LUT 4
840.0999999998837 LUT 4
843.4999999998806 LUT 4
846.6999999998777 LUT 4
849.7999999998749 LUT 4
852.6999999998723 LUT 4
855.7999999998694 LUT 4
859.2999999998663 LUT 4
863.3999999998625 LUT 4
869.0999999998573 LUT 4
954.6999999997795 LUT 4
958.7999999997758 LUT 4
962.1999999997727 LUT 4
965.3999999997698 LUT 4
968.399999999767 LUT 4
971.1999999997645 LUT 4
973.9999999997619 LUT 4
976.8999999997593 LUT 4
979.7999999997567 LUT 4
982.699999999754 LUT 4
985.4999999997515 LUT 4
988.2999999997489 LUT 4
991.1999999997463 LUT 4
994.0999999997437 LUT 4
996.999999999741 LUT 4
999.7999999997385 LUT 4
53.90000000009908 LUT 6
57.20000000009889 LUT 6
60.100000000098724 LUT 6
62.700000000098576 LUT 6
65.20000000009844 LUT 6
67.7000000000983 LUT 6
70.10000000009816 LUT 6
72.50000000009803 LUT 6
74.90000000009789 LUT 6
77.30000000009775 LUT 6
79.70000000009762 LUT 6
82.00000000009749 LUT 6
84.30000000009736 LUT 6
86.70000000009722 LUT 6
89.10000000009708 LUT 6
91.50000000009695 LUT 6
93.90000000009681 LUT 6
96.40000000009667 LUT 6
98.90000000009653 LUT 6
101.50000000009638 LUT 6
104.20000000009622 LUT 6
107.00000000009607 LUT 6
110.0000000000959 LUT 6
113.4000000000957 LUT 6
116.20000000009554 LUT 6
119.10000000009538 LUT 6
121.80000000009522 LUT 6
124.40000000009508 LUT 6
127.00000000009493 LUT 6
129.6000000000952 LUT 6
132.30000000009582 LUT 6
134.9000000000964 LUT 6
137.70000000009705 LUT 6
140.80000000009775 LUT 6
144.20000000009853 LUT 6
148.1000000000994 LUT 6
153.10000000010055 LUT 6
171.10000000010464 LUT 6
174.50000000010542 LUT 6
177.30000000010605 LUT 6
180.00000000010667 LUT 6
182.70000000010728 LUT 6
185.30000000010787 LUT 6
187.80000000010844 LUT 6
190.200000000109 LUT 6
192.70000000010955 LUT 6
195.1000000001101 LUT 6
197.50000000011065 LUT 6
199.9000000001112 LUT 6
202.30000000011174 LUT 6
204.8000000001123 LUT 6
207.20000000011285 LUT 6
209.6000000001134 LUT 6
212.00000000011394 LUT 6
214.4000000001145 LUT 6
216.80000000011503 LUT 6
219.20000000011558 LUT 6
221.70000000011615 LUT 6
224.20000000011672 LUT 6
226.8000000001173 LUT 6
229.60000000011794 LUT 6
232.70000000011865 LUT 6
236.10000000011942 LUT 6
240.0000000001203 LUT 6
244.90000000012142 LUT 6
289.60000000013156 LUT 6
293.10000000013235 LUT 6
296.000000000133 LUT 6
298.7000000001336 LUT 6
301.40000000013424 LUT 6
304.00000000013483 LUT 6
306.80000000013547 LUT 6
309.9000000001362 LUT 6
313.30000000013695 LUT 6
317.20000000013783 LUT 6
322.20000000013897 LUT 6
368.20000000014943 LUT 6
371.80000000015025 LUT 6
374.7000000001509 LUT 6
377.4000000001515 LUT 6
380.10000000015214 LUT 6
382.7000000001527 LUT 6
385.50000000015336 LUT 6
388.60000000015407 LUT 6
392.00000000015484 LUT 6
395.9000000001557 LUT 6
400.90000000015687 LUT 6
458.50000000016996 LUT 6
462.00000000017076 LUT 6
464.9000000001714 LUT 6
467.500000000172 LUT 6
470.1000000001726 LUT 6
472.60000000017317 LUT 6
475.0000000001737 LUT 6
477.5000000001743 LUT 6
479.9000000001748 LUT 6
482.4000000001754 LUT 6
484.80000000017594 LUT 6
487.3000000001765 LUT 6
489.8000000001771 LUT 6
492.40000000017767 LUT 6
495.1000000001783 LUT 6
498.00000000017894 LUT 6
501.10000000017965 LUT 6
504.5000000001804 LUT 6
508.50000000018133 LUT 6
513.8000000001805 LUT 6
598.4000000001035 LUT 6
602.0000000001003 LUT 6
604.9000000000976 LUT 6
607.6000000000952 LUT 6
610.3000000000927 LUT 6
612.9000000000904 LUT 6
615.7000000000878 LUT 6
618.800000000085 LUT 6
622.2000000000819 LUT 6
626.1000000000784 LUT 6
631.1000000000738 LUT 6
757.0999999999592 LUT 6
760.1999999999564 LUT 6
762.8999999999539 LUT 6
765.4999999999516 LUT 6
767.9999999999493 LUT 6
770.499999999947 LUT 6
772.8999999999448 LUT 6
775.3999999999426 LUT 6
777.7999999999404 LUT 6
780.1999999999382 LUT 6
782.6999999999359 LUT 6
785.1999999999337 LUT 6
787.6999999999314 LUT 6
790.299999999929 LUT 6
792.9999999999266 LUT 6
795.8999999999239 LUT 6
799.099999999921 LUT 6
802.5999999999178 LUT 6
806.8999999999139 LUT 6
809.7999999999113 LUT 6
812.6999999999086 LUT 6
815.3999999999062 LUT 6
817.9999999999038 LUT 6
820.5999999999015 LUT 6
823.1999999998991 LUT 6
825.9999999998965 LUT 6
828.6999999998941 LUT 6
831.4999999998915 LUT 6
834.4999999998888 LUT 6
837.6999999998859 LUT 6
841.4999999998824 LUT 6
844.3999999998798 LUT 6
846.9999999998774 LUT 6
849.5999999998751 LUT 6
852.0999999998728 LUT 6
854.4999999998706 LUT 6
856.8999999998684 LUT 6
859.2999999998663 LUT 6
861.6999999998641 LUT 6
864.0999999998619 LUT 6
866.4999999998597 LUT 6
868.8999999998575 LUT 6
871.2999999998553 LUT 6
873.7999999998531 LUT 6
876.3999999998507 LUT 6
879.1999999998482 LUT 6
882.1999999998454 LUT 6
885.4999999998424 LUT 6
889.1999999998391 LUT 6
893.699999999835 LUT 6
958.599999999776 LUT 6
961.6999999997731 LUT 6
964.3999999997707 LUT 6
966.9999999997683 LUT 6
969.499999999766 LUT 6
971.9999999997638 LUT 6
974.3999999997616 LUT 6
976.7999999997594 LUT 6
979.1999999997572 LUT 6
981.599999999755 LUT 6
983.9999999997528 LUT 6
986.2999999997508 LUT 6
988.5999999997487 LUT 6
990.8999999997466 LUT 6
993.1999999997445 LUT 6
995.4999999997424 LUT 6
997.7999999997403 LUT 6
